bag	section	Top_depth	Bottom_depth	Center_depth	number_grains	e1	e1_weighted	e2	e2_weighted	e3	e3_weighted
296	6	162.71	162.8	162.75	993	0.177412	0.162437	0.379095	0.34681	0.443493	0.490753
300	1	164.45	164.54	164.5	1253	0.192084	0.192823	0.312905	0.294403	0.495011	0.512773
300	2	164.54	164.63	164.59	936	0.230389	0.20935	0.320342	0.272929	0.449269	0.51772
300	3	164.63	164.73	164.68	867	0.230356	0.213314	0.319243	0.296414	0.450401	0.490272
300	4	164.73	164.82	164.77	763	0.228836	0.203578	0.342274	0.278173	0.428889	0.518249
300	5	164.82	164.91	164.86	1006	0.205679	0.196804	0.323703	0.303587	0.470618	0.499609
300	6	164.91	165	164.95	1060	0.199263	0.19656	0.359799	0.301738	0.440938	0.501703
301	1	165	165.09	165.05	1298	0.206799	0.223818	0.343879	0.29608	0.449322	0.480102
301	2	165.09	165.18	165.14	882	0.252524	0.208494	0.307348	0.27885	0.440128	0.512657
301	3	165.18	165.28	165.23	866	0.230356	0.204665	0.319936	0.298859	0.449709	0.496476
301	4	165.28	165.37	165.32	1255	0.214221	0.210981	0.307267	0.307598	0.478512	0.481421
301	5	165.37	165.46	165.41	1143	0.213055	0.199894	0.328177	0.299616	0.458768	0.50049
301	6	165.46	165.55	165.5	999	0.199197	0.200512	0.318746	0.29911	0.482057	0.500378
327	1	179.3	179.39	179.35	1163	0.204403	0.196268	0.387254	0.3438	0.408343	0.459932
327	2	179.39	179.48	179.44	876	0.232657	0.234512	0.372563	0.325513	0.39478	0.439976
327	3	179.48	179.58	179.53	1020	0.207117	0.193455	0.301857	0.309391	0.491026	0.497154
327	4	179.58	179.67	179.62	994	0.186836	0.20854	0.35873	0.327533	0.454434	0.463927
327	5	179.67	179.76	179.71	913	0.210281	0.209807	0.326824	0.320936	0.462896	0.469257
327	6	179.76	179.85	179.8	933	0.214364	0.220464	0.363445	0.339879	0.42219	0.439657
346	1	189.75	189.84	189.8	946	0.20593	0.161874	0.378826	0.379423	0.415244	0.458703
346	2	189.84	189.93	189.89	855	0.214912	0.178575	0.343999	0.362878	0.44109	0.458547
346	3	189.93	190.03	189.98	1062	0.156052	0.152696	0.392183	0.374863	0.451766	0.472441
346	4	190.03	190.12	190.07	1178	0.152563	0.14395	0.400146	0.393951	0.447291	0.462099
346	5	190.12	190.21	190.16	1027	0.160509	0.153206	0.396253	0.362696	0.443238	0.484098
346	6	190.21	190.3	190.25	826	0.185209	0.166556	0.384712	0.363987	0.430079	0.469457
356	1	195.25	195.34	195.3	796	0.20919	0.188914	0.375162	0.366871	0.415649	0.444214
356	2	195.34	195.43	195.39	845	0.233426	0.190869	0.357577	0.366056	0.408996	0.443075
356	3	195.43	195.53	195.48	986	0.188285	0.162883	0.37904	0.348122	0.432675	0.488995
356	4	195.53	195.62	195.57	921	0.187934	0.170094	0.389117	0.379299	0.422949	0.450607
356	5	195.62	195.71	195.66	1511	0.158759	0.150059	0.390024	0.358767	0.451217	0.491173
356	6	195.71	195.8	195.75	1016	0.198906	0.168375	0.342809	0.338252	0.458285	0.493372
375	1	205.7	205.79	205.75	1032	0.154823	0.158312	0.38992	0.375553	0.455257	0.466135
375	2	205.79	205.88	205.84	861	0.144386	0.158775	0.414909	0.375725	0.440704	0.4655
375	3	205.88	205.98	205.93	952	0.163603	0.154648	0.390692	0.372986	0.445705	0.472366
375	4	205.98	206.07	206.02	823	0.168739	0.16794	0.383305	0.338799	0.447956	0.49326
375	5	206.07	206.16	206.11	1020	0.1691	0.159352	0.399375	0.367535	0.431525	0.473112
375	6	206.16	206.25	206.2	942	0.162042	0.149065	0.40879	0.374745	0.429168	0.47619
387	1	212.3	212.39	212.35	993	0.12844	0.137667	0.367654	0.419273	0.503905	0.44306
387	2	212.39	212.48	212.44	1196	0.129622	0.1362	0.402572	0.410955	0.467806	0.452845
387	3	212.48	212.58	212.53	823	0.15219	0.146755	0.412993	0.412995	0.434817	0.44025
387	4	212.58	212.67	212.62	724	0.144488	0.148881	0.365964	0.417072	0.489547	0.434047
387	5	212.67	212.76	212.71	693	0.161666	0.1516	0.397553	0.397677	0.440781	0.450723
387	6	212.76	212.85	212.8	790	0.182514	0.159089	0.395324	0.39266	0.422163	0.448251
400	1	212.76	212.85	212.8	807	0.133283	0.135016	0.391509	0.406969	0.475209	0.458015
400	2	219.45	219.54	219.5	605	0.151072	0.15081	0.395373	0.380377	0.453555	0.468812
400	3	219.54	219.63	219.59	1107	0.139402	0.12308	0.393544	0.420585	0.467055	0.456335
415	1	227.7	227.79	227.75	876	0.127583	0.134612	0.367299	0.406176	0.505117	0.459212
415	2	227.79	227.88	227.84	1145	0.118639	0.125241	0.405229	0.424024	0.476131	0.450735
415	3	227.88	227.98	227.93	1390	0.142479	0.123075	0.416297	0.41693	0.441224	0.459995
415	4	227.98	228.07	228.02	947	0.133475	0.138381	0.400219	0.420977	0.466305	0.440642
